month,S&P 500,S&P 500 TR,Nikkei 225,Nikkei 225 TR
,https://www.investing.com/indices/us-spx-500-historical-data,https://www.investing.com/indices/s-p-500-tr-historical-data,,
Feb-78,87.04,,,
Jan-78,89.25,,,
Dec-77,95.1,,,
Nov-77,94.83,,,
Oct-77,92.34,,,
Sep-77,96.53,,,
Aug-77,96.77,,,
Jul-77,98.85,,,
Jun-77,100.48,,,
May-77,96.12,,,
Apr-77,98.44,,,
Mar-77,98.42,,,
Feb-77,99.82,,,
Jan-77,102.03,,,
Dec-76,107.46,,,
Nov-76,102.1,,,
Oct-76,102.9,,,
Sep-76,105.24,,,
Aug-76,102.91,,,
Jul-76,103.44,,,
Jun-76,104.28,,,
May-76,100.18,,,
Apr-76,101.64,,,
Mar-76,102.77,,,
Feb-76,99.71,,,
Jan-76,100.86,,,
Dec-75,90.19,,,
Nov-75,91.24,,,
Oct-75,89.04,,,
Sep-75,83.87,,,
Aug-75,86.88,,,
Jul-75,88.75,,,
Jun-75,95.19,,,
May-75,91.15,,,
Apr-75,87.3,,,
Mar-75,83.36,,,
Feb-75,81.59,,,
Jan-75,76.98,,,
Dec-74,68.56,,,
Nov-74,69.97,,,
Oct-74,73.9,,,
Sep-74,63.54,,,
Aug-74,72.15,,,
Jul-74,79.31,,,
Jun-74,86,,,
May-74,87.28,,,
Apr-74,90.31,,,
Mar-74,93.98,,,
Feb-74,96.22,,,
Jan-74,96.57,,,
Dec-73,97.55,,,
Nov-73,95.96,,,
Oct-73,108.29,,,
Sep-73,108.43,,,
Aug-73,104.25,,,
Jul-73,108.22,,,
Jun-73,104.26,,,
May-73,104.95,,,
Apr-73,106.97,,,
Mar-73,111.52,,,
Feb-73,111.68,,,
Jan-73,116.03,,,
Dec-72,118.05,,,
Nov-72,116.67,,,
Oct-72,111.58,,,
Sep-72,110.55,,,
Aug-72,111.09,,,
Jul-72,107.39,,,
Jun-72,107.14,,,
May-72,109.53,,,
Apr-72,107.67,,,
Mar-72,107.2,,,
